1000;6128;Mikkels Taxi;kontakt@mikkelstaxi.dk;27801010;2026-02-11 12:30
1001;6073;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;20496710;2026-02-09 12:30
1002;6048;DanTaxi A/S;kontakt@dantaxia/s.dk;20371644;2026-02-12 13:00
1003;6076;�stTransport ApS;kontakt@oesttransportaps.dk;29713252;2026-02-11 10:00
1004;6088;Mikkels Transport;kontakt@mikkelstransport.dk;24478722;2026-02-13 13:45
1005;6126;Idas Taxi;kontakt@idastaxi.dk;21655536;2026-02-11 12:00
1006;6010;DanTaxi A/S;kontakt@dantaxia/s.dk;29254948;2026-02-10 09:30
1007;6114;Karens Transport;kontakt@karenstransport.dk;24090324;2026-02-12 09:00
1008;6019;DanTaxi A/S;kontakt@dantaxia/s.dk;22463782;2026-02-12 12:00
1009;6074;SydK�rsel A/S;kontakt@sydkoersela/s.dk;22996745;2026-02-10 13:45
1010;6111;Pers Transport;kontakt@perstransport.dk;27725155;2026-02-11 09:30
1011;6002;DanTaxi A/S;kontakt@dantaxia/s.dk;29585886;2026-02-12 15:00
1012;6067;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;22004595;2026-02-10 12:30
1013;6064;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;21244215;2026-02-11 09:15
1014;6045;Megans Taxi A/S;meganebsen@gmail.com;12345678;2026-02-09 12:15
1015;6023;Megans Taxi A/S;meganebsen@gmail.com;12345678;2026-02-10 10:45
1017;6137;Mias Transport;kontakt@miastransport.dk;29294722;2026-02-10 12:00
1018;6066;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;23721779;2026-02-09 09:00
1019;6033;DanTaxi A/S;kontakt@dantaxia/s.dk;25852885;2026-02-11 13:00
1020;6103;Vituss Taxi;kontakt@vitusstaxi.dk;21507087;2026-02-09 12:15
1021;6125;Rikkes Taxi;kontakt@rikkestaxi.dk;24845584;2026-02-12 14:00
1022;6063;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;22515653;2026-02-11 13:15
1024;6138;Lones Transport;kontakt@lonestransport.dk;24393909;2026-02-09 09:15
1025;6102;Frejas Transport;kontakt@frejastransport.dk;29998072;2026-02-13 12:30
1026;6018;DanTaxi A/S;kontakt@dantaxia/s.dk;20375048;2026-02-10 10:15
1027;6003;DanTaxi A/S;kontakt@dantaxia/s.dk;26766964;2026-02-12 09:45
1028;6077;�stTransport ApS;kontakt@oesttransportaps.dk;20048098;2026-02-11 09:00
1029;6133;Olivers Transport;kontakt@oliverstransport.dk;27859353;2026-02-12 14:15
1030;6060;ByTaxi ApS;kontakt@bytaxiaps.dk;29225154;2026-02-12 09:30
1031;6025;DanTaxi A/S;kontakt@dantaxia/s.dk;20501122;2026-02-12 09:45
1032;6081;NordK�rsel ApS;kontakt@nordkoerselaps.dk;25547913;2026-02-10 10:15
1033;6090;Yvonnes Taxi;kontakt@yvonnestaxi.dk;23071118;2026-02-09 14:15
1034;6096;Allans Taxi;kontakt@allanstaxi.dk;29861011;2026-02-12 10:30
1035;6028;DanTaxi A/S;kontakt@dantaxia/s.dk;27339408;2026-02-09 14:00
1036;6038;DanTaxi A/S;kontakt@dantaxia/s.dk;23270344;2026-02-12 14:45
1037;6068;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;23022255;2026-02-09 09:30
1038;6072;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;27746588;2026-02-11 13:45
1039;6109;Astrids Transport;kontakt@astridstransport.dk;25103026;2026-02-11 09:15
1040;6129;Bos Transport;kontakt@bostransport.dk;26599097;2026-02-11 10:00
1041;6091;Louises Taxi;kontakt@louisestaxi.dk;25875477;2026-02-09 14:45
1042;6127;Kenneths Taxi;kontakt@kennethstaxi.dk;24835400;2026-02-13 12:15
1043;6110;Peters Transport;kontakt@peterstransport.dk;24990219;2026-02-10 12:30
1044;6094;Henriksens Transport;kontakt@henriksenstransport.dk;27219688;2026-02-10 09:15
1045;6107;Rasmuss Taxi;kontakt@rasmusstaxi.dk;23943325;2026-02-09 09:00
1046;6098;Nielsens Taxi;kontakt@nielsenstaxi.dk;20181916;2026-02-11 12:15
1047;6016;DanTaxi A/S;kontakt@dantaxia/s.dk;27664344;2026-02-09 10:30
1048;6024;DanTaxi A/S;kontakt@dantaxia/s.dk;28440304;2026-02-12 13:45
1049;6087;Sannes Taxi;kontakt@sannestaxi.dk;27203405;2026-02-12 10:00
1050;6079;MidtbyTaxi ApS;kontakt@midtbytaxiaps.dk;26291513;2026-02-12 09:00
1051;6030;DanTaxi A/S;kontakt@dantaxia/s.dk;21222585;2026-02-10 14:45
1052;6009;DanTaxi A/S;kontakt@dantaxia/s.dk;27939042;2026-02-13 12:00
1053;6040;DanTaxi A/S;kontakt@dantaxia/s.dk;27070716;2026-02-10 10:00
1054;6050;ByTaxi ApS;kontakt@bytaxiaps.dk;29011937;2026-02-09 10:30
1055;6039;DanTaxi A/S;kontakt@dantaxia/s.dk;21762034;2026-02-12 15:30
1056;6043;DanTaxi A/S;kontakt@dantaxia/s.dk;22400270;2026-02-10 14:15
1057;6046;DanTaxi A/S;kontakt@dantaxia/s.dk;28422705;2026-02-11 09:00
1058;6130;Pers Taxi;kontakt@perstaxi.dk;25467113;2026-02-12 09:15
1059;6106;Peters Taxi;kontakt@peterstaxi.dk;23934220;2026-02-10 08:45
1060;6014;DanTaxi A/S;kontakt@dantaxia/s.dk;27371655;2026-02-13 15:30
1061;6057;ByTaxi ApS;kontakt@bytaxiaps.dk;28127754;2026-02-12 12:15
1062;6034;DanTaxi A/S;kontakt@dantaxia/s.dk;27981630;2026-02-10 13:15
1063;6041;DanTaxi A/S;kontakt@dantaxia/s.dk;23575022;2026-02-12 15:15
1064;6134;Camillas Taxi;kontakt@camillastaxi.dk;28741251;2026-02-10 13:30
1065;6132;Frejas Taxi;kontakt@frejastaxi.dk;23471333;2026-02-10 14:00
1066;6071;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;27464596;2026-02-12 10:15
1067;6005;DanTaxi A/S;kontakt@dantaxia/s.dk;26564014;2026-02-12 13:30
1068;6112;S�rens Transport;kontakt@soerenstransport.dk;27381510;2026-02-11 12:45
1069;6119;Karens Taxi;kontakt@karenstaxi.dk;27492412;2026-02-13 12:15
1070;6004;DanTaxi A/S;kontakt@dantaxia/s.dk;23452859;2026-02-12 10:45
1071;6108;Marias Transport;kontakt@mariastransport.dk;26876602;2026-02-09 08:45
1072;6053;ByTaxi ApS;kontakt@bytaxiaps.dk;24348573;2026-02-13 14:30
1074;6044;DanTaxi A/S;kontakt@dantaxia/s.dk;23032455;2026-02-11 10:15
1075;6021;DanTaxi A/S;kontakt@dantaxia/s.dk;28433909;2026-02-10 10:45
1076;6047;DanTaxi A/S;kontakt@dantaxia/s.dk;25872961;2026-02-12 12:45
1077;6100;Astrids Taxi;kontakt@astridstaxi.dk;24164957;2026-02-11 14:30
1078;6124;Annas Transport;kontakt@annastransport.dk;20423530;2026-02-09 10:00
1079;6084;Annas Taxi;kontakt@annastaxi.dk;22342845;2026-02-13 14:45
1080;6069;VestByens Taxi ApS;kontakt@vestbyenstaxiaps.dk;26706549;2026-02-11 12:00
1081;6013;DanTaxi A/S;kontakt@dantaxia/s.dk;22931206;2026-02-10 09:15
1083;6061;ByTaxi ApS;kontakt@bytaxiaps.dk;27022296;2026-02-10 09:45
1084;6136;Stefans Transport;kontakt@stefanstransport.dk;24883076;2026-02-10 09:00
1085;6122;Camillas Transport;kontakt@camillastransport.dk;21989630;2026-02-09 15:15
1086;6113;Dortes Transport;kontakt@dortestransport.dk;21498820;2026-02-09 09:30
1087;6011;DanTaxi A/S;kontakt@dantaxia/s.dk;23791473;2026-02-09 12:00
1088;6092;Sannes Transport;kontakt@sannestransport.dk;24014118;2026-02-10 15:30
